District	population_density	income	incidence_rate	imported_num
Central_and_Western	19171	41400	5327.576299	145
Wan_Chai	16973	44100	4884.496637	111
Eastern	30336	34300	6007.761364	55
Southern	6812	32800	7246.162509	58
Kowloon_City	41919	30000	8560.223625	67
Kwun_Tong	61075	22500	11327.06333	33
Sham_Shui_Po	44517	24300	12274.66747	15
Wong_Tai_Sin	44729	25500	11487.35592	5
Yau_Tsim_Mong	47177	30000	11850.78448	166
Islands	1054	28400	7978.325469	107
Kwai_Tsing	21528	24700	10492.95681	49
North	2301	30400	7736.071633	15
Sai_Kung	3645	36500	7101.493968	38
Sha_Tin	10014	29700	9307.059294	46
Tai_Po	2254	25800	7647.616688	26
Tsuen_Wan	5034	32600	8180.342848	46
Tuen_Mun	5964	25000	10307.38962	29
Yuen_Long	4711	27000	10495.78031	27
