date	new_cases	CHP_dashboard_new_daily_cs	RAT_positive_cases	new_deaths	PCR_new_tests_smoothed	CHP_locally-acquired
2022-01-01	18	18		0	66897	1
2022-01-02	26	26		0	78891	1
2022-01-03	29	29		0	90885	1
2022-01-04	39	39		0	102879	3
2022-01-05	38	38		0	114872	4
2022-01-06	33	33		0	126866	5
2022-01-07	33	33		0	138860	7
2022-01-08	37	37		0	138860	7
2022-01-09	33	33		0	138860	6
2022-01-10	24	24		0	138860	5
2022-01-11	21	21		0	138860	8
2022-01-12	22	22		0	138860	6
2022-01-13	14	14		0	138860	6
2022-01-14	9	9		0	138860	3
2022-01-15	5	5		0	138860	2
2022-01-16	11	11		0	138860	3
2022-01-17	7	7		0	138860	4
2022-01-18	18	18		0	138860	11
2022-01-19	16	16		0	138860	7
2022-01-20	14	14		0	138860	10
2022-01-21	24	24		0	138860	18
2022-01-22	26	26		0	138860	25
2022-01-23	140	140		0	138860	125
2022-01-24	109	109		0	138860	99
2022-01-25	124	124		0	138860	95
2022-01-26	107	107		0	138860	100
2022-01-27	164	164		0	138860	116
2022-01-28	115	115		0	138860	112
2022-01-29	119	119		0	138860	85
2022-01-30	81	81		0	138860	77
2022-01-31	92	92		0	138860	82
2022-02-01	129	129		0	153525	104
2022-02-02	116	116		0	168190	103
2022-02-03	142	142		0	182855	121
2022-02-04	131	131		0	197520	130
2022-02-05	351	351		0	212185	347
2022-02-06	342	342		0	226850	342
2022-02-07	614	614		0	241515	607
2022-02-08	625	625		0	241515	621
2022-02-09	1161	1161		2	241515	1153
2022-02-10	986	986		1	241515	985
2022-02-11	1325	1325		0	241515	1323
2022-02-12	1514	1514		3	241515	1509
2022-02-13	1347	1347		0	241515	1345
2022-02-14	2071	2071		2	241515	2052
2022-02-15	1619	1619		3	241515	1619
2022-02-16	4285	4285		3	241515	4264
2022-02-17	6116	6116		11	241515	6107
2022-02-18	3629	3629		21	241515	3627
2022-02-19	6063	6063		17	241515	6059
2022-02-20	6067	6067		12	241515	6055
2022-02-21	7533	7533		12	241515	7530
2022-02-22	6211	6211		36	241515	6208
2022-02-23	8674	8674		49	241515	8671
2022-02-24	8798	8798		40	241515	8795
2022-02-25	10010	10010		72	241515	10010
2022-02-26	74534	44899	29635	80	241515	44893
2022-02-27	50976	32359	18617	82	241515	32353
2022-02-28	56178	34466	21712	85	241515	34462
2022-03-01	55658	32597	23061	246	224828	32592
2022-03-02	76341	55353	20988	178	208140	55326
2022-03-03	76991	56827	20164	198	191453	56827
2022-03-04	72682	52523	20159	188	174765	52512
2022-03-05	67583	37529	30054	220	158078	37523
2022-03-06	39801	31008		233	141390	31006
2022-03-07	36395	25150	2018	280	124703	25118
2022-03-08	38751	28475		291	124703	28446
2022-03-09	30461	25991	32766	291	124703	25984
2022-03-10	31402	24390	7012	281	124703	24380
2022-03-11	29381	18888	10493	294	124703	18884
2022-03-12	27647	15789	11858	285	124703	15788
2022-03-13	32430	13335	19095	264	124703	13332
2022-03-14	26908	12040	14868	286	124703	12040
2022-03-15	27765	11956	15809	289	124703	11952
2022-03-16	29272	14454	14818	279	124703	14443
2022-03-17	21650	8628	13022	289	124703	8619
2022-03-18	20082	7966	12116	265	124703	7963
2022-03-19	16597	7528	9069	249	124703	7514
2022-03-20	14149	5876	8273	246	124703	5872
2022-03-21	14068	4523	9545	223	124703	4518
2022-03-22	14152	4296	9856	245	124703	4286
2022-03-23	12240	4250	7990	205	124703	4246
2022-03-24	13074	5732	7342	201	124703	5731
2022-03-25	10405	4578	5827	192	124703	4574
2022-03-26	8841	3884	4957	139	124703	3878
2022-03-27	8037	3555	4482	151	124703	3553
2022-03-28	7685	3227	4458	168	124703	3222
2022-03-29	7596	3164	4432	151	124703	3162
2022-03-30	6981	2994	3987	135		2989
2022-03-31	6646	2859	3787	119		2852
2022-04-01	5823	2743	3080	120		2740
2022-04-02	4475	2286	2189	116		2268
2022-04-03	3709	1832	1877	111		1822
2022-04-04	3138	1589	1549	90		1577
2022-04-05	3254	1658	1596	87		1642
2022-04-06	2777	1489	1288	111		1482
2022-04-07	2644	1368	1273	97		1359
2022-04-08	2492	1277	1260	86		1274
2022-04-09	2535	897	1636	62		886
2022-04-10	1921	888	1028	65		875
2022-04-11	1407	698	705	57		689
2022-04-12	1433	735	696	59		724
2022-04-13	1272	734	536	62		724
2022-04-14	1043	579	464	54		556
2022-04-15	946	471	473	67		462
2022-04-16	794	449	344	41		438
2022-04-17	747	446	300	29		436
2022-04-18	613	316	297	20		303
2022-04-19	600	320	278	17		311
2022-04-20	668	330	335	10		320
2022-04-21	628	317	305	26		298
2022-04-22	574	290	282	15		281
2022-04-23	523	252	266	9		244
2022-04-24	429	221	205	13		205
2022-04-25	431	242	184	18		231
2022-04-26	347	205	140	7		195
2022-04-27	430	222	204	8		211
2022-04-28	413	206	202	5		187
2022-04-29	366	196	167	11		185
2022-04-30	363	190	171	10		167
