tmrca,first_sample_date,last_sample_date,num_samples,samples,first_sister_tip,first_sister_date,known_duration,undetected_duration
2021-11-30,2022-01-02,2022-01-02,1,HongKong/CH22000160/2022|2022-01-02,HongKong/HK-HKPU-12750/2022|2022-01-04,2022.008219,0,32.48079074
2021-12-08,2022-01-03,2022-01-03,1,HongKong/CH22000618/2022|2022-01-03,Mozambique/CERI-KRISP-K033892/2021|2021-12-11,2021.942466,0,25.49737853
2021-12-04,2022-01-03,2022-01-03,1,HongKong/CH22000619/2022|2022-01-03,Zambia/CHAZ-CHS0726/2021|2021-12-21,2021.969863,0,29.35793697
2021-12-21,2022-01-04,2022-01-04,1,HongKong/CH22001129/2022|2022-01-04,Bonaire/BQ-RIVM-79993/2021|2021-12-28,2021.989041,0,13.94630954
2021-12-28,2022-01-06,2022-01-06,1,HongKong/CH22002046/2022|2022-01-06,Jamaica/JAM-UWIMicro-0188/2021|2021-12-26,2021.983562,0,9.057499801
2022-01-03,2022-01-13,2022-01-13,1,HongKong/CM22000139/2022|2022-01-13,Malaysia/TIDREC-NSC726/2021|2021-12-24,2021.978082,0,10.08745975
2021-12-25,2022-01-14,2022-01-14,1,HongKong/CM22000143/2022|2022-01-14,HongKong/WHP5476/2022|2022-01-16,2022.041096,0,19.32620601
2022-01-03,2022-02-02,2022-02-02,1,HongKong/CM22000271/2022|2022-02-02,Aruba/AW-RIVM-82607/2022|2022-01-08,2022.019178,0,30.08639627
2022-01-04,2022-04-09,2022-04-09,1,HongKong/CM22000718/2022|2022-04-09,Japan/PG-206120/2022|2022-01-25,2022.065753,0,94.42058244
2021-12-25,2022-01-01,2022-01-01,1,HongKong/HK-HKPU-12656/2022|2022-01-01,Russia/SPE-RII-6293V1/2021|2021-12-17,2021.958904,0,7.091931576
2021-11-15,2022-01-01,2022-01-01,1,HongKong/HK-HKPU-12662/2022|2022-01-01,Australia/SA127192/2022|2022-02-18,2022.131507,0,46.84521764
2021-12-11,2022-01-01,2022-01-01,1,HongKong/HK-HKPU-12664/2022|2022-01-01,Moldova/E0017/2022|2022-01-15,2022.038356,0,20.41095255
2021-12-12,2022-01-01,2022-01-01,1,HongKong/HK-HKPU-12665/2022|2022-01-01,HongKong/WHP5483-S20-iseq/2022|2022-01-07,2022.016438,0,19.69001757
2021-12-12,2022-01-01,2022-01-01,1,HongKong/HK-HKPU-12667/2022|2022-01-01,HongKong/HK-HKPU-13165/2022|2022-01-23,2022.060274,0,19.84381021
2021-12-19,2022-01-01,2022-01-01,1,HongKong/HK-HKPU-12669/2022|2022-01-01,Saint-Martin/IPP06977/2022|2022-01-24,2022.063014,0,12.42475991
2021-12-11,2022-01-02,2022-01-02,1,HongKong/HK-HKPU-12675/2022|2022-01-02,Bahamas/18274-GMI/2021|2021-12-15,2021.953425,0,21.94581172
2021-12-05,2022-01-02,2022-01-02,1,HongKong/HK-HKPU-12676/2022|2022-01-02,HongKong/HK-HKPU-12911/2022|2022-01-09,2022.021918,0,27.65297258
2021-12-15,2022-01-02,2022-01-02,1,HongKong/HK-HKPU-12678/2022|2022-01-02,Switzerland/SG-CLM-12274988/2021|2021-12-27,2021.986301,0,17.34511428
2021-12-21,2022-01-02,2022-01-02,1,HongKong/HK-HKPU-12679/2022|2022-01-02,Wales/PHWC-PGJBMZ/2021|2021-12-14,2021.950685,0,12.06910212
