tmrca,first_sample_date,last_sample_date,num_samples,samples,first_sister_tip,first_sister_date,known_duration,undetected_duration
2022-04-03,2022-04-08,2022-04-08,2,HongKong/CM22000707/2022|2022-04-08;HongKong/HK-HKPU-PUB09333464A/2022|2022-04-08,Philippines/PH-RITM-1063/2022|2022-02-16,2022.12602739726,0,4.52736067028127
2021-12-24,2022-01-03,2022-01-07,2,HongKong/HK-HKPU-12701/2022|2022-01-03;HongKong/HK-HKPU-12869/2022|2022-01-07,Brunei/9822003946/2022|2022-01-10,2022.02465753425,4.00000000002478,9.62033374812108
2021-12-27,2022-01-01,2022-01-03,2,HongKong/VM22000090/2022|2022-01-01;HongKong/HK-HKPU-12702/2022|2022-01-03,HongKong/VM22000059/2022|2022-01-01,2022,1.9999999999709,4.28957470616638
2021-12-28,2022-01-01,2022-01-01,2,HongKong/VM22000057/2022|2022-01-01;HongKong/HK-HKPU-12657/2022|2022-01-01,HongKong/HK-HKPU-12713/2022|2022-01-03,2022.00547945205,0,4.18593693318257
2021-12-23,2022-01-01,2022-01-09,3,HongKong/HK-HKPU-12937/2022|2022-01-09;HongKong/HK-HKPU-12715/2022|2022-01-03;HongKong/VM22000060/2022|2022-01-01,Philippines/PH-RITM-654/2021|2021-12-23,2021.97534246575,7.99999999996658,9.05467820711465
2021-12-30,2022-01-03,2022-01-03,2,HongKong/HK-HKPU-12717/2022|2022-01-03;HongKong/VM22000325/2022|2022-01-03,Philippines/PH-RITM-654/2021|2021-12-23,2021.97534246575,0,3.95733706402893
2021-12-30,2022-01-04,2022-01-07,2,HongKong/HK-HKPU-12863/2022|2022-01-07;HongKong/HK-HKPU-12742/2022|2022-01-04,HongKong/HK-HKPU-12695/2022|2022-01-02,2022.00273972603,2.99999999995634,4.99179918714844
2022-01-10,2022-01-14,2022-01-14,2,HongKong/WHP5446/2022|2022-01-14;HongKong/HK-HKPU-13029/2022|2022-01-14,HongKong/HK-HKPU-12711/2022|2022-01-03,2022.00547945205,0,3.50540046897663
2021-12-22,2022-01-01,2022-01-03,2,HongKong/HK-HKPU-12721/2022|2022-01-03;HongKong/HK-HKPU-12663/2022|2022-01-01,HongKong/HK-HKPU-12688/2022|2022-01-02,2022.00273972603,1.9999999999709,9.48503055624997
2021-12-29,2022-01-03,2022-01-04,2,HongKong/HK-HKPU-12743/2022|2022-01-04;HongKong/HK-HKPU-12706/2022|2022-01-03,Philippines/PH-PGC-102406/2021|2021-12-23,2021.97534246575,1.00000000006844,4.89525700983449
2021-12-30,2022-01-03,2022-01-05,2,HongKong/WHP5223/2022|2022-01-05;HongKong/VM22000407/2022|2022-01-03,HongKong/HK-HKPU-12766/2022|2022-01-04,2022.00821917808,2.00000000005389,3.8784300508371
2021-12-13,2022-01-03,2022-01-23,5,HongKong/VM22000135_HKUVOC0588P2/2022|2022-01-03;HongKong/VM22000138_HKUVOC0589P2/2022|2022-01-03;HongKong/VM22000138_HKUVOC0589/2022|2022-01-03;HongKong/VOC-588-P3-S18-iseq/2022|2022-01-23;HongKong/VM22000135_HKUVOC0588/2022|2022-01-03,HongKong/HK-HKPU-12661/2022|2022-01-01,2022,20.0000000000409,20.3975326737327
2022-04-04,2022-04-08,2022-04-08,2,HongKong/CM22000702/2022|2022-04-08;HongKong/HK-HKPU-PUB076121536/2022|2022-04-08,USA/IN-CDC-QDX34747208/2022|2022-03-11,2022.18904109589,0,3.78260802534783
2021-12-24,2022-01-01,2022-01-03,3,HongKong/WHP5173-S8-iseq/2022|2022-01-03;HongKong/HK-HKPU-12722/2022|2022-01-03;HongKong/VM22000061/2022|2022-01-01,Jordan/Biolab0531/2022|2022-01-06,2022.01369863014,1.9999999999709,7.41652735480216
2021-12-30,2022-01-06,2022-01-07,2,HongKong/WHP5213/2022|2022-01-06;HongKong/HK-HKPU-12845/2022|2022-01-07,Indonesia/KR-NIHRD-WGS-22-00433/2022|2022-01-05,2022.01095890411,0.999999999985448,7.13993647484585
2022-04-05,2022-04-08,2022-04-08,2,HongKong/CM22000705/2022|2022-04-08;HongKong/HK-HKPU-PUB061691447/2022|2022-04-08,Vietnam/PIHCM_1084/2022|2022-03-23,2022.22191780822,0,2.65902179616774
2021-12-30,2022-01-04,2022-01-06,2,HongKong/HK-HKPU-12832/2022|2022-01-06;HongKong/HK-HKPU-12738/2022|2022-01-04,Brunei/9822004703/2022|2022-01-11,2022.02739726027,1.9999999999709,4.3899856882831
2021-12-20,2022-01-01,2022-01-06,6,HongKong/HK-HKPU-12714/2022|2022-01-03;HongKong/WHP5167-S2-iseq/2022|2022-01-01;HongKong/HK-HKPU-12716/2022|2022-01-03;HongKong/VM22000411/2022|2022-01-03;HongKong/WHP5218/2022|2022-01-06;HongKong/HK-HKPU-PU22TM200668/2022|2022-01-06,HongKong/VM22000323/2022|2022-01-03,2022.00547945205,5.00000000001023,12.0105422274878
2022-03-25,2022-04-01,2022-04-05,2,HongKong/CM22000686/2022|2022-04-05;HongKong/CM22000641/2022|2022-04-01,Canada/BC-BCCDC-378359/2022|2022-02-23,2022.14520547945,3.99999999994179,7.0101369419217
2021-12-29,2022-01-03,2022-01-03,2,HongKong/VM22000323/2022|2022-01-03;HongKong/VM22000322/2022|2022-01-03,HongKong/HK-HKPU-12833/2022|2022-01-06,2022.01369863014,0,4.31054609825196
2022-03-07,2022-04-02,2022-04-06,2,HongKong/CM22000653/2022|2022-04-02;HongKong/CM22000696/2022|2022-04-06,USA/SC-CDC-QDX34992118/2022|2022-03-18,2022.20821917808,4.00000000002478,25.4394156023648
