date	daily_incidences	daily_upper_incidences	daily_lower_incidences	k	generation_time
2022-01-06	144	1073	28	0.05	2
2022-01-07	84.5	488.5	17.5	0.05	2
2022-01-08	84.5	488.5	17.5	0.05	2
2022-01-09	65.3333333333333	299	13.6666666666667	0.05	2
2022-01-10	65.3333333333333	299	13.6666666666667	0.05	2
2022-01-11	65.3333333333334	299	13.6666666666667	0.05	2
2022-01-12	86.6666666666666	297.666666666667	25	0.05	2
2022-01-13	86.6666666666666	297.666666666667	25	0.05	2
2022-01-14	86.6666666666667	297.666666666667	25	0.05	2
2022-01-15	124.666666666667	331.666666666667	49	0.05	2
2022-01-16	124.666666666667	331.666666666666	49	0.05	2
2022-01-17	124.666666666667	331.666666666667	49	0.05	2
2022-01-18	243.5	548.5	108.5	0.05	2
2022-01-19	243.5	548.5	108.5	0.05	2
2022-01-20	543.666666666667	922	338.666666666667	0.05	2
2022-01-21	543.666666666667	922	338.666666666667	0.05	2
2022-01-22	543.666666666667	922	338.666666666667	0.05	2
2022-01-23	975	1548.33333333333	641.666666666667	0.05	2
2022-01-24	975	1548.33333333333	641.666666666667	0.05	2
2022-01-25	975	1548.33333333333	641.666666666667	0.05	2
2022-01-26	2053.5	3212.5	1357	0.05	2
2022-01-27	2053.5	3212.5	1357	0.05	2
2022-01-28	1668	2649	1063.33333333333	0.05	2
2022-01-29	1668	2649	1063.33333333333	0.05	2
2022-01-30	1668	2649	1063.33333333333	0.05	2
2022-01-31	1930.66666666667	3097.66666666667	1199.66666666667	0.05	2
2022-02-01	1930.66666666666	3097.66666666667	1199.66666666667	0.05	2
2022-02-02	1930.66666666667	3097.66666666666	1199.66666666667	0.05	2
2022-02-03	1927	2961.66666666666	1258.66666666667	0.05	2
2022-02-04	1927	2961.66666666667	1258.66666666667	0.05	2
2022-02-05	1927	2961.66666666666	1258.66666666667	0.05	2
2022-02-06	2722	3877	1931.5	0.05	2
2022-02-07	2722	3877	1931.5	0.05	2
2022-02-08	1903.33333333334	2585	1417	0.05	2
2022-02-09	1903.33333333333	2585	1417	0.05	2
2022-02-10	1903.33333333334	2585	1417	0.05	2
2022-02-11	3316.33333333334	5067.66666666667	2214.66666666667	0.05	2
2022-02-12	3316.33333333333	5067.66666666666	2214.66666666666	0.05	2
2022-02-13	3316.33333333334	5067.66666666667	2214.66666666667	0.05	2
2022-02-14	4739	7567.33333333333	3017.66666666666	0.05	2
2022-02-15	4739	7567.33333333334	3017.66666666667	0.05	2
2022-02-16	4739	7567.33333333333	3017.66666666666	0.05	2
2022-02-17	10215	17481.5	5904	0.05	2
2022-02-18	10215	17481.5	5904	0.05	2
2022-02-19	9305	16853.3333333333	4889.33333333334	0.05	2
2022-02-20	9305	16853.3333333333	4889.33333333333	0.05	2
2022-02-21	9305	16853.3333333333	4889.33333333334	0.05	2
2022-02-22	11796.3333333333	22047	5840.66666666667	0.05	2
2022-02-23	11796.3333333333	22047	5840.66666666666	0.05	2
2022-02-24	11796.3333333333	22047	5840.66666666667	0.05	2
2022-02-25	64030.5	175955.5	22355.5	0.05	2
2022-02-26	64030.5	175955.5	22355.5	0.05	2
2022-02-27	74192	214675.333333333	24113.6666666667	0.05	2
2022-02-28	74192	214675.333333333	24113.6666666667	0.05	2
2022-03-01	74192	214675.333333333	24113.6666666667	0.05	2
2022-03-02	85595.3333333334	235901.666666667	29122	0.05	2
2022-03-03	85595.3333333333	235901.666666667	29122	0.05	2
2022-03-04	85595.3333333334	235901.666666667	29122	0.05	2
2022-03-05	89441	230140	32338	0.05	2
2022-03-06	89441	230140	32338	0.05	2
2022-03-07	89441	230140	32338	0.05	2
2022-03-08	139535.5	341016	52849.5	0.05	2
2022-03-09	139535.5	341016	52849.5	0.05	2
2022-03-10	89561	221273	34609.6666666666	0.05	2
2022-03-11	89561	221273	34609.6666666667	0.05	2
2022-03-12	89561	221273	34609.6666666666	0.05	2
2022-03-13	86014	214978.666666667	33950	0.05	2
2022-03-14	86014	214978.666666666	33950	0.05	2
2022-03-15	86014	214978.666666667	33950	0.05	2
2022-03-16	128915	337613	53277.5	0.05	2
2022-03-17	128915	337613	53277.5	0.05	2
2022-03-18	85096.6666666665	237810.666666667	37288.3333333334	0.05	2
2022-03-19	85096.666666667	237810.666666666	37288.3333333333	0.05	2
2022-03-20	85096.6666666665	237810.666666667	37288.3333333334	0.05	2
2022-03-21	86553	255782	40002	0.05	2
2022-03-22	86553	255782	40002	0.05	2
2022-03-23	86553	255782	40002	0.05	2
2022-03-24	78723	218231.333333333	36115.6666666667	0.05	2
2022-03-25	78723	218231.333333334	36115.6666666665	0.05	2
2022-03-26	78723	218231.333333333	36115.6666666667	0.05	2
2022-03-27	107845	274922.5	49030	0.05	2
2022-03-28	107845	274922.5	49030	0.05	2
2022-03-29	61070.3333333335	148401.333333333	27591.6666666667	0.05	2
2022-03-30	61070.333333333	148401.333333334	27591.6666666665	0.05	2
2022-03-31	61070.3333333335	148401.333333333	27591.6666666667	0.05	2
2022-04-01	48662.6666666665	120769	21943	0.05	2
2022-04-02	48662.666666667	120769	21943	0.05	2
2022-04-03	48662.6666666665	120769	21943	0.05	2
2022-04-04	49347.5	127273	22169	0.05	2
2022-04-05	49347.5	127273	22169	0.05	2
2022-04-06	22535.3333333335	58728.666666666	10073.3333333333	0.05	2
2022-04-07	22535.333333333	58728.6666666679	10073.3333333335	0.05	2
2022-04-08	22535.3333333335	58728.666666666	10073.3333333333	0.05	2
2022-04-09	12901.6666666665	34116.333333334	5695.66666666674	0.05	2
2022-04-10	12901.666666667	34116.3333333321	5695.66666666651	0.05	2
2022-04-11	12901.6666666665	34116.333333334	5695.66666666674	0.05	2
2022-01-06	96	715	19	0.05	3
2022-01-07	56	326	11.5	0.05	3
2022-01-08	56	326	11.5	0.05	3
2022-01-09	43.6666666666667	199.333333333333	9	0.05	3
2022-01-10	43.6666666666667	199.333333333333	9	0.05	3
2022-01-11	43.6666666666667	199.333333333333	9	0.05	3
2022-01-12	58	198.333333333333	16.6666666666667	0.05	3
2022-01-13	58	198.333333333333	16.6666666666667	0.05	3
2022-01-14	58	198.333333333333	16.6666666666667	0.05	3
2022-01-15	83	221	32.6666666666667	0.05	3
2022-01-16	83	221	32.6666666666667	0.05	3
2022-01-17	83	221	32.6666666666667	0.05	3
2022-01-18	162.5	366	72.5	0.05	3
2022-01-19	162.5	366	72.5	0.05	3
2022-01-20	362.333333333333	614.666666666667	225.666666666667	0.05	3
2022-01-21	362.333333333333	614.666666666666	225.666666666667	0.05	3
2022-01-22	362.333333333333	614.666666666667	225.666666666667	0.05	3
2022-01-23	650	1032	428	0.05	3
2022-01-24	650	1032	428	0.05	3
2022-01-25	650	1032	428	0.05	3
2022-01-26	1369	2142	904.5	0.05	3
2022-01-27	1369	2142	904.5	0.05	3
2022-01-28	1112	1766	709	0.05	3
2022-01-29	1112	1766	709	0.05	3
2022-01-30	1112	1766	709	0.05	3
2022-01-31	1287	2065	799.666666666667	0.05	3
2022-02-01	1287	2065	799.666666666666	0.05	3
2022-02-02	1287	2065	799.666666666667	0.05	3
2022-02-03	1284.66666666667	1974.33333333333	839.333333333334	0.05	3
2022-02-04	1284.66666666667	1974.33333333334	839.333333333332	0.05	3
2022-02-05	1284.66666666667	1974.33333333333	839.333333333334	0.05	3
2022-02-06	1815	2585	1287.5	0.05	3
2022-02-07	1815	2585	1287.5	0.05	3
2022-02-08	1269	1723	944.666666666666	0.05	3
2022-02-09	1269	1723	944.666666666668	0.05	3
2022-02-10	1269	1723	944.666666666666	0.05	3
2022-02-11	2210.66666666667	3378.66666666666	1476.33333333333	0.05	3
2022-02-12	2210.66666666666	3378.66666666667	1476.33333333334	0.05	3
2022-02-13	2210.66666666667	3378.66666666666	1476.33333333333	0.05	3
2022-02-14	3159.33333333334	5045	2011.66666666667	0.05	3
2022-02-15	3159.33333333333	5045	2011.66666666666	0.05	3
2022-02-16	3159.33333333334	5045	2011.66666666667	0.05	3
2022-02-17	6810	11654	3936	0.05	3
2022-02-18	6810	11654	3936	0.05	3
2022-02-19	6203.33333333334	11235.6666666667	3259.66666666666	0.05	3
2022-02-20	6203.33333333334	11235.6666666667	3259.66666666667	0.05	3
2022-02-21	6203.33333333333	11235.6666666667	3259.66666666666	0.05	3
2022-02-22	7864.33333333333	14698	3893.66666666666	0.05	3
2022-02-23	7864.33333333334	14698	3893.66666666667	0.05	3
2022-02-24	7864.33333333333	14698	3893.66666666666	0.05	3
2022-02-25	42686.5	117303.5	14904	0.05	3
2022-02-26	42686.5	117303.5	14904	0.05	3
2022-02-27	49461.3333333333	143117	16075.6666666667	0.05	3
2022-02-28	49461.3333333333	143117	16075.6666666667	0.05	3
2022-03-01	49461.3333333334	143117	16075.6666666667	0.05	3
2022-03-02	57063.6666666667	157267.666666667	19414.6666666667	0.05	3
2022-03-03	57063.6666666666	157267.666666667	19414.6666666667	0.05	3
2022-03-04	57063.6666666667	157267.666666667	19414.6666666667	0.05	3
2022-03-05	59627.3333333334	153427	21558.6666666667	0.05	3
2022-03-06	59627.3333333333	153427	21558.6666666667	0.05	3
2022-03-07	59627.3333333334	153427	21558.6666666667	0.05	3
