time	incidence	incidence_Upper	incidence_Lower	k	generation_time
2022.0137	144	1073	28	0.05	2
2022.0212	313	2050	63	0.05	2
2022.0286	509	2947	104	0.05	2
2022.0361	769	3840	179	0.05	2
2022.0435	1143	4835	326	0.05	2
2022.051	1630	5932	543	0.05	2
2022.0584	3261	8698	1559	0.05	2
2022.0659	6186	13343	3484	0.05	2
2022.0733	10293	19768	6198	0.05	2
2022.0808	15297	27715	9388	0.05	2
2022.0882	21089	37008	12987	0.05	2
2022.0957	26870	45893	16763	0.05	2
2022.1031	32314	53647	20626	0.05	2
2022.1106	38024	61402	24877	0.05	2
2022.118	47973	76605	31521	0.05	2
2022.1255	62190	99307	40574	0.05	2
2022.1329	82620	134270	52382	0.05	2
2022.1404	110535	184830	67050	0.05	2
2022.1478	145924	250971	84572	0.05	2
2022.1553	273985	602882	129283	0.05	2
2022.1627	496561	1246908	201624	0.05	2
2022.1702	753347	1954613	288990	0.05	2
2022.1776	1021670	2645033	386004	0.05	2
2022.1851	1300741	3327065	491703	0.05	2
2022.1925	1569424	3990884	595532	0.05	2
2022.2	1827466	4635820	697382	0.05	2
2022.2075	2085296	5311046	803937	0.05	2
2022.2149	2340586	6024478	915802	0.05	2
2022.2224	2600245	6791824	1035808	0.05	2
2022.2298	2836414	7446518	1144155	0.05	2
2022.2373	3052104	7996363	1242215	0.05	2
2022.2447	3235315	8441567	1324990	0.05	2
2022.2522	3381303	8803874	1390819	0.05	2
2022.2596	3479998	9058420	1435157	0.05	2
2022.2671	3547604	9234606	1465377	0.05	2
2022.2745	3586309	9336955	1482464	0.05	2
2022.0137	96	715	19	0.05	3
2022.0212	208	1367	42	0.05	3
2022.0286	339	1965	69	0.05	3
2022.0361	513	2560	119	0.05	3
2022.0435	762	3223	217	0.05	3
2022.051	1087	3955	362	0.05	3
2022.0584	2174	5799	1039	0.05	3
2022.0659	4124	8895	2323	0.05	3
2022.0733	6862	13179	4132	0.05	3
2022.0808	10198	18477	6259	0.05	3
2022.0882	14059	24672	8658	0.05	3
2022.0957	17913	30595	11176	0.05	3
2022.1031	21543	35765	13751	0.05	3
2022.1106	25350	40934	16585	0.05	3
2022.118	31982	51070	21014	0.05	3
2022.1255	41460	66205	27049	0.05	3
2022.1329	55080	89513	34921	0.05	3
2022.1404	73690	123220	44700	0.05	3
2022.1478	97283	167314	56381	0.05	3
2022.1553	182656	401921	86189	0.05	3
2022.1627	331040	831272	134416	0.05	3
2022.1702	502231	1303075	192660	0.05	3
2022.1776	681113	1763356	257336	0.05	3
2022.1851	867160	2218044	327802	0.05	3
2022.1925	1046283	2660589	397021	0.05	3
2022.2	1218311	3090547	464921	0.05	3
2022.2075	1390197	3540697	535958	0.05	3
2022.2149	1560391	4016318	610535	0.05	3
2022.2224	1733497	4527883	690539	0.05	3
