date	k	generation_time	prevalence	prevalence_Upper	prevalence_Lower
2022-01-06	0.05	2	143.56998503338062	1072.6426329397925	28.423147007913627
2022-01-07	0.05	2	152.79147418151675	1036.0807767625597	30.66003462908618
2022-01-08	0.05	2	162.1179659135055	1001.3337350935738	32.91369194389803
2022-01-09	0.05	2	171.65668000432814	968.6337352203199	35.207564080189094
2022-01-10	0.05	2	181.69594153037994	939.0277904445506	37.60304960145253
2022-01-11	0.05	2	191.7249517790915	909.3752340929423	39.99638872457291
2022-01-12	0.05	2	201.76401786684792	879.7760830204544	42.39180336509499
2022-01-13	0.05	2	211.8203616975426	850.2475161352613	44.79086670090334
2022-01-14	0.05	2	253.52020917527906	887.488662971508	70.97710460719298
2022-01-15	0.05	2	295.1893149939851	924.633516456853	97.15322476477792
2022-01-16	0.05	2	336.9199041307521	961.9709566440011	123.34958041977231
2022-01-17	0.05	2	378.62004028681326	999.2128653287114	149.53593233952623
2022-01-18	0.05	2	420.2942470699997	1036.3907355546892	175.71145737274472
2022-01-19	0.05	2	462.0524649891579	1073.7711292002766	201.92272360466507
2022-01-20	0.05	2	504.60394165008904	1112.886603802839	228.49511880951874
2022-01-21	0.05	2	999.8890286200161	1847.4994283647852	571.8266353172346
2022-01-22	0.05	2	1478.082304539532	2543.151560671383	907.8397378435518
2022-01-23	0.05	2	1956.137952140555	3238.2358394463236	1243.8784895861245
2022-01-24	0.05	2	2429.454908896568	3925.534100736882	1576.8845029131328
2022-01-25	0.05	2	2905.5921181201957	4617.500953736231	1911.6839117348
2022-01-26	0.05	2	3377.142373357053	5302.266013006105	2243.4362291921916
2022-01-27	0.05	2	3857.8635272983124	6001.429797332021	2581.2807761540384
2022-01-28	0.05	2	4186.810634470233	6559.763570850824	2755.9836919448207
2022-01-29	0.05	2	4515.757741642153	7118.097344369628	2930.6866077356026
2022-01-30	0.05	2	4848.109375006219	7681.825587029199	3107.5717782353063
2022-01-31	0.05	2	5172.751052035691	8233.330946433047	3279.521266717796
2022-02-01	0.05	2	5484.994217064853	8764.966295676464	3443.742189174615
2022-02-02	0.05	2	5727.145067688792	9184.015456853556	3564.520028345582
2022-02-03	0.05	2	6049.044525988738	9730.489809513436	3735.3798352712356
2022-02-04	0.05	2	5895.843569949859	9267.835587229123	3748.590791908215
2022-02-05	0.05	2	5771.014761390741	8850.856893738212	3779.3039896065493
2022-02-06	0.05	2	5646.6678142696755	8434.636467121429	3810.3231490717408
2022-02-07	0.05	2	5527.288862008725	8025.630446337193	3844.7976253722945
2022-02-08	0.05	2	5397.995248669447	7602.228325077318	3872.375435636025
2022-02-09	0.05	2	5273.658965869334	7186.024254055263	3903.4015789181663
2022-02-10	0.05	2	5152.7808040620075	6774.366578497861	3937.069958458969
2022-02-11	0.05	2	6700.308282822542	9496.91458617744	4809.168335640192
2022-02-12	0.05	2	8251.533386653899	12224.365383368098	5684.073220349494
2022-02-13	0.05	2	9824.06718433882	14984.339468596505	6573.225790153461
2022-02-14	0.05	2	11384.987580491426	17727.599873817504	7454.156924186022
2022-02-15	0.05	2	12971.177723769191	20511.133031495596	8351.215788299747
2022-02-16	0.05	2	14528.121780557853	23249.03718207613	9229.166715960062
2022-02-17	0.05	2	16185.438732637042	26149.039096928358	10170.216286540135
2022-02-18	0.05	2	18985.74860923448	31959.20974425367	11253.423735708226
2022-02-19	0.05	2	21762.409982302524	37735.225194784885	12319.640822461532
2022-02-20	0.05	2	24509.188402308417	43460.93974342954	13368.144407403071
2022-02-21	0.05	2	27255.948470342002	49186.62247042355	14416.637603343239
2022-02-22	0.05	2	30002.708538375595	54912.305197417554	15465.13079928341
2022-02-23	0.05	2	32670.05281717941	60490.94389978332	16473.579300197056
2022-02-24	0.05	2	35502.75134256883	66375.86541731314	17565.34434701401
2022-02-25	0.05	2	69927.80455118191	172417.54825767476	27687.79514913057
2022-02-26	0.05	2	104725.52008993458	279738.775156453	37898.00710186685
2022-02-27	0.05	2	139041.35821046974	385874.03340134735	47917.0603122482
2022-02-28	0.05	2	173351.95765285066	491995.3062474993	57934.216433975016
2022-03-01	0.05	2	207666.21031200362	598127.1052224794	67952.56729660167
2022-03-02	0.05	2	244940.56499002868	712874.197866784	78924.68453713109
2022-03-03	0.05	2	251874.86320609177	714367.6426849753	83338.611840828
2022-03-04	0.05	2	256267.3665119311	708441.2223519743	86936.11573987722
2022-03-05	0.05	2	260591.98087321216	702310.6898469885	90512.50587789298
2022-03-06	0.05	2	264759.20366671507	695755.5416217549	94034.27941601057
2022-03-07	0.05	2	269001.98795197596	689404.0349605682	97582.29817151446
2022-03-08	0.05	2	273263.617140395	683099.6354182701	101137.29171459125
2022-03-09	0.05	2	280761.67747356906	684685.5242803082	105913.4528066341
2022-03-10	0.05	2	277742.1628048384	679947.0555484677	105530.05650072066
2022-03-11	0.05	2	275430.6784431587	676960.4616094069	105421.01507209388
2022-03-12	0.05	2	269396.3380729141	664812.8869046799	103883.9278377104
2022-03-13	0.05	2	266850.6806294003	661261.4538070668	103688.3418305676
2022-03-14	0.05	2	263222.4905675896	655038.5603611562	103075.31235999259
2022-03-15	0.05	2	258042.14172411078	644936.2869245282	101849.64335200586
2022-03-16	0.05	2	258626.8039834935	649272.3391272649	102907.94689239246
2022-03-17	0.05	2	258849.88262365537	666085.4576315419	105301.37590489803
2022-03-18	0.05	2	257432.34097390427	678780.1241196021	107042.03683110466
2022-03-19	0.05	2	252105.71455812774	680916.9365626328	107121.73389182011
2022-03-20	0.05	2	256023.283602353	708114.3864737356	111142.52538517788
2022-03-21	0.05	2	254357.13969471728	720199.5448153024	112786.33711640164
2022-03-22	0.05	2	262485.95883696707	760637.0777193493	118861.09609027744
2022-03-23	0.05	2	261047.3644261383	773990.5014768154	120694.28533429213
2022-03-24	0.05	2	252372.1251378637	732466.4036597466	116390.14840120258
2022-03-25	0.05	2	243696.8858495892	690942.3058426777	112086.01146811305
2022-03-26	0.05	2	235141.93282966348	649750.5863149457	107837.03830258774
2022-03-27	0.05	2	223333.74536776342	599803.0631699265	102100.45292631947
2022-03-28	0.05	2	225731.5858357904	587342.8357581602	102846.02393271704
2022-03-29	0.05	2	208995.9286964911	524845.9145744025	94869.46373575497
2022-03-30	0.05	2	202285.86534794088	488063.27610554826	91453.78621108526
2022-03-31	0.05	2	188258.94432616886	456617.625575858	85071.00930164276
2022-04-01	0.05	2	172482.98099548364	420951.99003699725	77897.48736847672
2022-04-02	0.05	2	156792.68022377763	385496.96800835384	70762.626089764
2022-04-03	0.05	2	146845.75493593604	364293.8645382172	66217.57636511978
2022-04-04	0.05	2	125415.59604190565	314608.5676728811	56494.26775126203
2022-04-05	0.05	2	111142.63798743303	282776.28483345365	49996.70183726369
2022-04-06	0.05	2	94763.68674763457	245631.94109912377	42550.97776502629
2022-04-07	0.05	2	83813.27759105826	217629.41283665423	37578.83108931423
2022-04-08	0.05	2	72862.86843448195	189626.8845741847	32606.68441360217
2022-04-09	0.05	2	61912.45927790564	161624.35631171518	27634.5377378901
2022-04-10	0.05	2	50962.05012132934	133621.82804924564	22662.391062178034
2022-04-11	0.05	2	41190.07001891391	108730.0157821163	18211.260207301268
2022-04-12	0.05	2	28765.082705754714	76825.81615904398	12588.493664840906
2022-04-13	0.05	2	18226.971062319895	49932.429553800066	7795.627403671706
2022-01-06	0.05	3	95.7133233555871	715.0950886265284	18.94876467194242
2022-01-07	0.05	3	101.86098278767783	690.7205178417065	20.440023086057458
2022-01-08	0.05	3	108.078643942337	667.5558233957158	21.942461295932024
2022-01-09	0.05	3	114.43778666955211	645.7558234802134	23.471709386792732
2022-01-10	0.05	3	121.13062768691998	626.0185269630339	25.068699734301692
2022-01-11	0.05	3	127.81663451939434	606.2501560619615	26.664259149715274
2022-01-12	0.05	3	134.50934524456528	586.517388680303	28.261202243396664
2022-01-13	0.05	3	141.21357446502842	566.8316774235076	29.860577800602226
2022-01-14	0.05	3	169.0134727835194	591.659108647672	47.31806973812866
2022-01-15	0.05	3	196.79287666265674	616.4223443045688	64.76881650985194
2022-01-16	0.05	3	224.61326942050144	641.3139710960008	82.23305361318154
2022-01-17	0.05	3	252.41336019120885	666.141910219141	99.69062155968416
2022-01-18	0.05	3	280.1961647133332	690.9271570364596	117.14097158182982
2022-01-19	0.05	3	308.0349766594386	715.8474194668511	134.61514906977672
